category,link,listed,name,price
Spirits,https://www.whiskyshop.com/dead-mans-fingers-mango-rum,https://www.whiskyshop.com/spirits,Dead Man's Fingers Mango Rum,22.75
World Whiskies,https://www.whiskyshop.com/angels-envy,https://www.whiskyshop.com/world-whiskies,Angel's Envy Bourbon,59.99
World Whiskies,https://www.whiskyshop.com/ichiros-malt-grain-world-blended-whisky-2020-blue-label,https://www.whiskyshop.com/world-whiskies,Ichiro's Malt & Grain World Blended Whisky 2020 Blue Label,185.00
World Whiskies,https://www.whiskyshop.com/ichiros-malt-and-grain-blended,https://www.whiskyshop.com/world-whiskies,Ichiro's Malt & Grain Japanese Whisky 2020,"1,750.00"
Spirits,https://www.whiskyshop.com/dead-mans-fingers-lime-rum,https://www.whiskyshop.com/spirits,Dead Man's Fingers Lime Rum,22.75
Spirits,https://www.whiskyshop.com/dead-mans-fingers-hazelnut-rum,https://www.whiskyshop.com/spirits,Dead Man's Fingers Hazelnut Rum,22.75
Spirits,https://www.whiskyshop.com/dead-mans-fingers-coffee-rum,https://www.whiskyshop.com/spirits,Dead Man's Fingers Coffee Rum,22.75
World Whiskies,https://www.whiskyshop.com/high-west-whiskey-prairie,https://www.whiskyshop.com/world-whiskies,High West Whiskey American Prairie Bourbon,46.95
World Whiskies,https://www.whiskyshop.com/evan-williams-single-barrel-vintage-2010,https://www.whiskyshop.com/world-whiskies,Evan Williams Single Barrel Vintage 2010,47.95
World Whiskies,https://www.whiskyshop.com/evan-williams-white-label,https://www.whiskyshop.com/world-whiskies,Evan Williams Bottled in Bond,36.95
Spirits,https://www.whiskyshop.com/dead-mans-fingers-coconut-rum,https://www.whiskyshop.com/spirits,Dead Man's Fingers Coconut Rum,22.75
Spirits,https://www.whiskyshop.com/dead-man-s-fingers-passionfruit-rum,https://www.whiskyshop.com/spirits,Dead Man's Fingers Passionfruit Rum,22.75
Spirits,https://www.whiskyshop.com/dead-man-s-fingers-raspberry-rum,https://www.whiskyshop.com/spirits,Dead Man's Fingers Raspberry Rum,22.75
World Whiskies,https://www.whiskyshop.com/evan-williams-extra-aged,https://www.whiskyshop.com/world-whiskies,Evan Williams Bourbon,27.95
World Whiskies,https://www.whiskyshop.com/elijah-craig-small-batch,https://www.whiskyshop.com/world-whiskies,Elijah Craig Small Batch,45.45
World Whiskies,https://www.whiskyshop.com/buffalo-trace-single-barrel-tws-exclusive,https://www.whiskyshop.com/world-whiskies,Buffalo Trace Single Barrel Select,50.00
Spirits,https://www.whiskyshop.com/dead-man-s-fingers-cornish-spiced-rum,https://www.whiskyshop.com/spirits,Dead Man's Fingers Cornish Spiced Rum,22.75
Spirits,https://www.whiskyshop.com/silent-pool-rose-gift-set,https://www.whiskyshop.com/spirits,Silent Pool Rose Gift Set,69.99
World Whiskies,https://www.whiskyshop.com/nikka-from-the-barrel-glass-gift-set,https://www.whiskyshop.com/world-whiskies,Nikka from the Barrel Glass Gift Set,80.00
World Whiskies,https://www.whiskyshop.com/jack-daniel-s-sour-mash-legacy-edition,https://www.whiskyshop.com/world-whiskies,Jack Daniel's Sour Mash Legacy Edition,37.50
World Whiskies,https://www.whiskyshop.com/bookers-batch-2021-donohue,https://www.whiskyshop.com/world-whiskies,Booker’s Donohoe’s Batch (2021-01E),89.99
Spirits,https://www.whiskyshop.com/silent-pool-rare-citrus-set,https://www.whiskyshop.com/spirits,Silent Pool Rare Citrus Set,69.99
Spirits,https://www.whiskyshop.com/au-vodka-green-watermelon,https://www.whiskyshop.com/spirits,Au Vodka Green Watermelon,29.45
Spirits,https://www.whiskyshop.com/hendricks-gin-martini,https://www.whiskyshop.com/spirits,Batch & Bottle Hendrick's Gin Martini,25.00
World Whiskies,https://www.whiskyshop.com/woodford-reserve-masters-brandy-cask-finish,https://www.whiskyshop.com/world-whiskies,Woodford Reserve Masters Brandy Cask Finish,84.95
World Whiskies,https://www.whiskyshop.com/jack-daniels-single-barrel-nosing-glass-set,https://www.whiskyshop.com/world-whiskies,Jack Daniel's Single Barrel Nosing Glass Set,49.99
Spirits,https://www.whiskyshop.com/six-saints-mini-set-4x5cl,https://www.whiskyshop.com/spirits,Six Saints Special Cask Finishes Set 4x5cl,24.99
Spirits,https://www.whiskyshop.com/six-saints-madeira-cask-finish-rum,https://www.whiskyshop.com/spirits,Six Saints Madeira Cask Finish Rum,34.50
Spirits,https://www.whiskyshop.com/six-saints-pedro-ximenez-cask-finish-rum,https://www.whiskyshop.com/spirits,Six Saints Pedro Ximenez Cask Finish Rum,34.50
World Whiskies,https://www.whiskyshop.com/mars-malted-cosmo-wine-cask-finish,https://www.whiskyshop.com/world-whiskies,Mars Malted Cosmo Wine Cask Finish,83.95
World Whiskies,https://www.whiskyshop.com/mars-malted-cosmo,https://www.whiskyshop.com/world-whiskies,Mars Malted Cosmo,57.95
World Whiskies,https://www.whiskyshop.com/whistlepig-boss-hog-vii-magellans-atlantic,https://www.whiskyshop.com/world-whiskies,WhistlePig Boss Hog VII Magellan's Atlantic,595.00
